review_id,item_type,reference,stratum_or_event,publishers,context,ai_label,ai_note,allowed_human_labels,human_label,agrees_with_ai (Y/N),reviewer,comment,second_pass_label,agrees_with_ai_exactly (Y/N),second_pass_reviewer,second_pass_comment
1,QC_PAIR,qc_row 0,INTRA_CLUSTER_WEAKEST_LINK,vietnamnet.vn | vietnamnet.vn,"L: Bão số 4 dị thường xoay hướng liên tục, mưa lũ miền Bắc khó lường -- Bão số 4 đang di chuyển rất phức tạp, liên tục đổi hướng trên Vịnh Bắc Bộ. Từ nay đến hết ngày 24/8, Đông Bắc Bộ có mưa lớn diện rộng, nguy cơ cao xảy ra lũ quét, sạt lở đất và ngập úng.
R: Vùng áp thấp từ bão số 4 Narra đang tan, miền Bắc sắp đón đợt mưa lớn mới -- Bão số 4 Narra đã suy yếu thành vùng áp thấp trên đất liền Trung Quốc. Miền Bắc tiếp tục có mưa rào và giông, trước khi có khả năng đón một đợt mưa lớn mới vào cuối tháng 8.",UNCERTAIN,"Same storm (no.4), different phases 3 days apart; weather storyline",SAME_EVENT / DIFFERENT_EVENT / UNCERTAIN,,,,,SAME_EVENT,N,ChatGPT second-pass,Same named storm No.4 Narra; articles describe different phases of the same storm lifecycle. Keep weather caveat because the later article also transitions to a new rain episode.
2,QC_PAIR,qc_row 7,INTRA_CLUSTER_WEAKEST_LINK,dantri.com.vn | dantri.com.vn,"L: Vì sao tuyển Việt Nam không gọi 2 cầu thủ mới nhập tịch dự FIFA ASEAN Cup? -- (Dân trí) - Dù mới có quốc tịch Việt Nam nhưng Olaha Mạnh Đức và Lương Chí Khải vẫn chưa thể khoác áo đội tuyển Việt Nam tham dự giải FIFA ASEAN Cup 2026.
R: Nỗi lo lớn của đội tuyển Việt Nam trước thềm FIFA ASEAN Cup -- (Dân trí) - Trước thềm giải FIFA ASEAN Cup 2026, đội tuyển Việt Nam đang đối diện nỗi lo lắng ở hàng thủ khi Thành Chung, Văn Hậu không thể tham dự.",UNCERTAIN,Same FIFA ASEAN Cup run-up but different angles (naturalised players vs defence),SAME_EVENT / DIFFERENT_EVENT / UNCERTAIN,,,,,DIFFERENT_EVENT,N,ChatGPT second-pass,"Same FIFA ASEAN Cup build-up, but distinct underlying stories: eligibility of newly naturalised players versus defensive absences/injuries."
3,QC_PAIR,qc_row 10,INTRA_CLUSTER_WEAKEST_LINK,vietnamnet.vn | vietnamnet.vn,"L: Ô tô bất ngờ tông 5 xe máy trước quán nhậu, người dân giận dữ chặn đầu phương tiện -- Chiếc ô tô bất ngờ lao thẳng vào loạt xe máy trước quán nhậu gần cầu Chữ Y (TPHCM), hất văng nhiều xe xa hơn 10m và khiến 2 người bị thương.
R: Ô tô Mercedes tông liên hoàn 3 xe máy dừng đèn đỏ, kéo lê 10m ở TPHCM -- Đang dừng chờ đèn đỏ ở TPHCM, 3 xe máy bất ngờ bị ô tô Mercedes lao tới tông mạnh, kéo lê khoảng 10m. Vụ tai nạn khiến một người bị gãy chân, nhiều phương tiện hư hỏng nặng, giao thông qua khu vực ùn ",UNCERTAIN,"Cars hitting motorbikes in HCMC; 5 bikes at bar vs 3 bikes at red light, likely different incidents",SAME_EVENT / DIFFERENT_EVENT / UNCERTAIN,,,,,DIFFERENT_EVENT,N,ChatGPT second-pass,Clearly different HCMC crashes: 5 motorbikes outside a restaurant versus 3 motorbikes at a red light.
4,QC_PAIR,qc_row 15,INTRA_CLUSTER_WEAKEST_LINK,vietnamnet.vn | vietnamnet.vn,"L: Clip ô tô con đột ngột rời cao tốc, tài xế xe tải phanh &apos;cháy đường&apos; -- Theo Cục CSGT (Bộ Công an) đơn vị đã xác minh, làm rõ về một trường ô tô con rời đường cao tốc trái quy định, tiềm ẩn gây tai nạn giao thông.
R: Ô tô bán tải chạy 78km/h, bám sau xe tải chưa đầy 25m trên cao tốc -- Theo Cục CSGT, tài xế ô tô bán tải có đủ điều kiện chuyển làn từ xa nhưng vẫn bám sát đuôi xe tải rồi mới chuyển làn, tiềm ẩn nguy cơ tai nạn nếu xe phía trước phanh đột ngột.",UNCERTAIN,Both CSGT statements about tailgating clips; different clips,SAME_EVENT / DIFFERENT_EVENT / UNCERTAIN,,,,,DIFFERENT_EVENT,N,ChatGPT second-pass,Different traffic incidents/clips: illegal expressway exit versus pickup tailgating a truck.
5,QC_PAIR,qc_row 18,INTRA_CLUSTER_WEAKEST_LINK,vietnamnet.vn | vietnamnet.vn,"L: Ngày thứ ba nghỉ lễ 2/9, CSGT xử lý 18.738 tài xế vi phạm, có 1 trường hợp không giữ khoảng cách -- Trong ngày thứ ba của kỳ nghỉ lễ Quốc khánh 2/9, lực lượng CSGT toàn quốc phát hiện, xử lý 18.738 trường hợp vi phạm; tai nạn giao thông giảm cả 3 tiêu chí so với cùng kỳ.
R: CSGT chỉ xử lý xe cố tình bám sát đuôi, không giữ khoảng cách trên cao tốc -- Cục CSGT cho biết đa số tài xế đã bước đầu hình thành ý thức giữ khoảng cách với xe liền trước trên cao tốc. Lực lượng chức năng chỉ xử lý những trường hợp cố tình vi phạm, chủ yếu là xe kinh doanh vậ",UNCERTAIN,Both CSGT reporting on 2/9 holiday / tailgating enforcement; different articles,SAME_EVENT / DIFFERENT_EVENT / UNCERTAIN,,,,,DIFFERENT_EVENT,N,ChatGPT second-pass,"One is a nationwide holiday enforcement tally; the other is an explanation of tailgating enforcement. Same policy context, different reporting event."
6,QC_PAIR,qc_row 27,INTRA_CLUSTER_WEAKEST_LINK,vietnamnet.vn | vietnamnet.vn,"L: Nhóm thanh niên sang Campuchia, tham gia đường dây lừa đảo xuyên quốc gia -- Lưu Sinh Diễn cùng 8 thanh niên sang Campuchia theo lời mời làm việc lương cao, sau đó được đưa vào một tổ chức do người Trung Quốc cầm đầu, giả danh nhân viên Shopee để lừa hơn 1,3 tỷ đồng của 7 ngườ
R: Tiếp nhận hơn 100 công dân Việt Nam do phía Campuchia bàn giao -- Các công dân này nghe theo những lời dụ dỗ việc nhẹ lương cao, tham gia vào các ổ nhóm lừa đảo ở nước bạn.",UNCERTAIN,Cambodia scam ring: individual case vs 100+ returnees; same story arc,SAME_EVENT / DIFFERENT_EVENT / UNCERTAIN,,,,,DIFFERENT_EVENT,N,ChatGPT second-pass,"Specific 9-person Cambodia scam case versus repatriation of 100+ Vietnamese citizens. Same broad issue, different events."
7,CROSS_PUBLISHER_EVENT,evt_7d88f2e2523f,"size=2, publishers=2",tuoitre.vn; vietnamnet.vn,"Đà Nẵng hoàn thành lấy mẫu ADN gần 26.000 mộ liệt sĩ, lớn nhất cả nước
Quảng Trị hoàn thành lấy mẫu sinh phẩm tại 22.864 phần mộ liệt sĩ",DIFFERENT,"Two provinces (Da Nang vs Quang Tri) finishing DNA sampling of martyr graves: same programme, different events",SAME_EVENT / PLAUSIBLE / MIXED / DIFFERENT,,,,,DIFFERENT,Y,ChatGPT second-pass,"Da Nang versus Quang Tri DNA-sampling completions. Same national programme, different provincial events."
8,CROSS_PUBLISHER_EVENT,evt_cc8d4c14c903,"size=2, publishers=2",thanhnien.vn; vietnamnet.vn,"Cháy nhà trong hẻm ở TPHCM làm 2 người tử vong, 5 người bị thương
Vụ cháy nhà ở TP.HCM: Hợp sức phá cửa, cứu 5 người trong biển lửa",PLAUSIBLE,Likely the same HCMC house fire (5 rescued); publish dates 3 days apart,SAME_EVENT / PLAUSIBLE / MIXED / DIFFERENT,,,,,SAME_EVENT,N,ChatGPT second-pass,"Same HCMC house fire in Cho Lon ward: both descriptions give 2 deaths and 5 injured/rescued at dawn (address detail came from the reviewer's web check, not from our data)."
9,CROSS_PUBLISHER_EVENT,evt_bd8426ef24d4,"size=2, publishers=2",thanhnien.vn; vietnamnet.vn,"Nước sông dâng vượt mức báo động 3, người dân Thanh Hóa hối hả chạy lũ
Đập ngăn mặn tạm trên sông Cái Nha Trang liệu tháo dỡ kịp mùa mưa lũ?",DIFFERENT,Thanh Hoa river flood vs Nha Trang temporary dam: unrelated,SAME_EVENT / PLAUSIBLE / MIXED / DIFFERENT,,,,,DIFFERENT,Y,ChatGPT second-pass,Thanh Hoa river flooding versus Nha Trang temporary dam. Different places and incidents.
10,CROSS_PUBLISHER_EVENT,evt_690a478e4007,"size=4, publishers=3",dantri.com.vn; thanhnien.vn; vietnamnet.vn,"TPHCM và Nam Bộ bước vào đợt mưa lớn diện rộng, miền Bắc khi nào giảm mưa?
12 tỉnh, thành ở Nam bộ và Nam Trung bộ ứng phó đợt mưa lớn 400 mm
4 tỉnh và toàn Nam Bộ mưa rất to, miền Bắc tạnh ráo đến khi nào?
Nam Trung Bộ và Nam Bộ có thể mưa to lên đến 400mm những ngày tới",MIXED,"Rain/forecast pieces; the 09-17 piece is an earlier forecast, the 3 pieces of 09-20 share the 400mm South-Central rain forecast",SAME_EVENT / PLAUSIBLE / MIXED / DIFFERENT,,,,,MIXED,Y,ChatGPT second-pass,"Three articles appear to concern the same 400mm South-Central/Southern rain forecast, while the earlier 17 Sep article is a broader preceding forecast."
