pair_id,left_article_id,right_article_id,left_publisher,right_publisher,left_url,right_url,left_title,right_title,left_description,right_description,similarity_evidence,predicted_relation,manual_relation,duplicate_family_id,review_notes
pair_21365c6df13d,e46ff5c8086409cd,0feea08b6ada8155,vietnamnet.vn,vietnamnet.vn,https://vietnamnet.vn/tphcm-dem-khong-ngu-ruc-sac-do-mung-viet-nam-vo-dich-2549531.html,https://vietnamnet.vn/bien-nguoi-tphcm-di-bao-xuyen-dem-mung-tuyen-viet-nam-vo-dich-2549546.html,"TPHCM đêm không ngủ, rực sắc đỏ mừng Việt Nam vô địch",Biển người TPHCM &apos;đi bão&apos; xuyên đêm mừng tuyển Việt Nam vô địch,"Cờ đỏ sao vàng tung bay, tiếng hô “Việt Nam vô địch” vang lên khắp các tuyến đường TPHCM, hòa cùng niềm vui vỡ òa của người hâm mộ sau khi đội tuyển Việt Nam đăng quang ASEAN Cup 2026.","Cờ đỏ sao vàng tung bay, tiếng hô “Việt Nam vô địch” vang lên khắp các tuyến đường TPHCM, hòa cùng niềm vui vỡ òa của người hâm mộ sau khi đội tuyển Việt Nam đăng quang ASEAN Cup 2026.",same_publisher_verbatim_description,EXACT_DUPLICATE,,fam_exact_c0317bfd175b,Confirmed exact duplicate pair
pair_f6ae876abbde,8439ac65384cb713,7829458e2a9c9cd9,vnexpress.net,thanhnien.vn,https://vnexpress.net/chua-thi-diem-thi-tot-nghiep-thpt-tren-may-tinh-nam-2027-5122463.html,https://thanhnien.vn/chua-thi-diem-thi-tot-nghiep-thpt-tren-may-tinh-vao-2027-185260920134257832.htm,Chưa thí điểm thi tốt nghiệp THPT trên máy tính năm 2027,Chưa thí điểm thi tốt nghiệp THPT trên máy tính vào 2027,"Phó Thủ tướng chỉ đạo chưa thí điểm thi tốt nghiệp THPT trên máy tính vào năm 2027 như đề xuất của Bộ Giáo dục và Đào tạo, đảm bảo nguyên tắc công bằng giữa các thí sinh.",Phó thủ tướng Lê Tiến Châu yêu cầu trước mắt chưa tổ chức thí điểm thi trên máy tính đối với kỳ thi tốt nghiệp THPT năm 2027.,event_semantic_overlap_title_sim=0.95_desc_cont=0.37,SAME_EVENT_INDEPENDENT,,fam_synd_ac22e12c0bde,Borderline candidate: high similarity but independent journalistic phrasing
pair_9adc543ee2bf,351a6eda3a85fd2d,84ba3ef12ae78dd6,dantri.com.vn,vietnamnet.vn,https://dantri.com.vn/thoi-su/tau-cho-gan-175000-tan-quang-sat-gap-su-co-tren-vung-bien-quang-ngai-20260920123814494.htm,https://vietnamnet.vn/tau-cho-hon-174-000-tan-quang-sat-gap-su-co-o-vung-bien-quang-ngai-2557031.html,Tàu chở gần 175.000 tấn quặng sắt gặp sự cố trên vùng biển Quảng Ngãi,Tàu chở hơn 174.000 tấn quặng sắt gặp sự cố ở vùng biển Quảng Ngãi,(Dân trí) - Tàu chở quặng sắt từ Malaysia về cảng Dung Quất (Quảng Ngãi) gặp sự cố nghi do va phải đá ngầm. Nước tràn vào một số khoang khiến tàu nghiêng nhẹ.,Tàu Merchant Mariner chở hơn 174.000 tấn quặng sắt gặp sự cố trên đường vào cảng Dung Quất (Quảng Ngãi). Cơ quan chức năng đang theo dõi sát tình trạng tàu và yêu cầu chuẩn bị phương án cứu hộ.,event_semantic_overlap_title_sim=0.92_desc_cont=0.22,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
pair_3360665433bc,c361de2efa420eb3,44e9c6dc680f526d,vietnamnet.vn,thanhnien.vn,https://vietnamnet.vn/tphcm-tim-nhan-chung-ve-noi-chon-cat-hon-100-liet-si-mau-than-1968-o-go-vap-2556641.html,https://thanhnien.vn/tim-nhan-chung-ve-noi-chon-cat-liet-si-mau-than-1968-o-go-vap-185260920151302116.htm,TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ Mậu Thân 1968 ở Gò Vấp,Tìm nhân chứng về nơi chôn cất liệt sĩ Mậu Thân 1968 ở Gò Vấp,"Bộ Tư lệnh TPHCM đang phối hợp xác minh thông tin phục vụ tìm kiếm, quy tập hài cốt hơn 100 liệt sĩ hy sinh trong Tết Mậu Thân 1968, nghi được chôn tại khu vực nay là Đài tưởng niệm liệt sĩ quận Gò Vấp (cũ).","Bộ Tư lệnh TP.HCM kêu gọi cung cấp thông tin về các trường hợp hy sinh trong Tết Mậu Thân 1968, được cho là chôn cất tại khu vực Đài tưởng niệm liệt sĩ quận Gò Vấp cũ.",event_semantic_overlap_title_sim=0.90_desc_cont=0.50,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
pair_cbe9153d4724,f087e321087fbbac,c361de2efa420eb3,dantri.com.vn,vietnamnet.vn,https://dantri.com.vn/thoi-su/tphcm-tim-nhan-chung-ve-noi-chon-cat-hon-100-liet-si-tran-tet-mau-than-1968-20260920170529063.htm,https://vietnamnet.vn/tphcm-tim-nhan-chung-ve-noi-chon-cat-hon-100-liet-si-mau-than-1968-o-go-vap-2556641.html,TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ trận Tết Mậu Thân 1968,TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ Mậu Thân 1968 ở Gò Vấp,"(Dân trí) - Bộ Tư lệnh TPHCM đang khẩn trương thu thập thông tin, tìm nhân chứng lịch sử nhằm xác minh vị trí chôn cất hơn 100 liệt sĩ hy sinh trong đợt tiến công Tết Mậu Thân 1968 tại khu vực Đài tưởng niệm liệt sĩ Gò Vấp.","Bộ Tư lệnh TPHCM đang phối hợp xác minh thông tin phục vụ tìm kiếm, quy tập hài cốt hơn 100 liệt sĩ hy sinh trong Tết Mậu Thân 1968, nghi được chôn tại khu vực nay là Đài tưởng niệm liệt sĩ quận Gò Vấp (cũ).",event_semantic_overlap_title_sim=0.89_desc_cont=0.47,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
pair_832bbc57eef6,67190b7a45109b90,0feea08b6ada8155,vietnamnet.vn,vietnamnet.vn,https://vietnamnet.vn/bien-nguoi-tphcm-di-bao-xuyen-dem-mung-tuyen-viet-nam-chien-thang-2548202.html,https://vietnamnet.vn/bien-nguoi-tphcm-di-bao-xuyen-dem-mung-tuyen-viet-nam-vo-dich-2549546.html,Biển người TPHCM &apos;đi bão&apos; xuyên đêm mừng tuyển Việt Nam chiến thắng,Biển người TPHCM &apos;đi bão&apos; xuyên đêm mừng tuyển Việt Nam vô địch,"Hàng nghìn người đổ về các tuyến đường trung tâm TPHCM, phất cờ, reo hò, hòa cùng tiếng còi xe sau khi tuyển Việt Nam đánh bại Thái Lan 2-0 ở chung kết lượt đi ASEAN Cup 2026.","Cờ đỏ sao vàng tung bay, tiếng hô “Việt Nam vô địch” vang lên khắp các tuyến đường TPHCM, hòa cùng niềm vui vỡ òa của người hâm mộ sau khi đội tuyển Việt Nam đăng quang ASEAN Cup 2026.",event_semantic_overlap_title_sim=0.89_desc_cont=0.21,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
pair_c6c5c198448a,a7e8e124546dd2fd,e095bf0523c655cb,vietnamnet.vn,vnexpress.net,https://vietnamnet.vn/chu-tich-ha-noi-yeu-cau-lam-ro-trach-nhiem-vu-nam-sinh-nga-xuong-cong-tu-vong-2557010.html,https://vnexpress.net/ha-noi-yeu-cau-lam-ro-trach-nhiem-vu-nam-sinh-nga-xuong-cong-tu-vong-5122437.html,Chủ tịch Hà Nội yêu cầu làm rõ trách nhiệm liên quan vụ nam sinh ngã xuống cống tử vong,Hà Nội yêu cầu làm rõ trách nhiệm vụ nam sinh ngã xuống cống tử vong,"UBND phường Đông Ngạc (Hà Nội) được giao xác minh phản ánh về tình trạng tuyến đường thường xuyên ngập úng, làm rõ trách nhiệm tổ chức, cá nhân liên quan vụ nam sinh Đại học Mỏ - Địa chất ngã xuống cống tử vong.","Chủ tịch UBND TP Hà Nội yêu cầu làm rõ nguyên nhân, xác định trách nhiệm và giải pháp xử lý vụ nam sinh bị ngã xuống cống tử vong tại phường Đông Ngạc.",event_semantic_overlap_title_sim=0.88_desc_cont=0.33,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
pair_a246050b94ac,89603527aa712493,2f2afe55783ede60,vietnamnet.vn,vietnamnet.vn,https://vietnamnet.vn/loi-khai-cua-2-thanh-nien-treu-gheo-co-gai-danh-ban-trai-trong-quan-an-2550623.html,https://vietnamnet.vn/nhom-thanh-nien-treu-gheo-co-gai-danh-ban-trai-trong-quan-an-2549897.html,"Lời khai của 2 thanh niên trêu ghẹo cô gái, đánh bạn trai trong quán ăn","Nhóm thanh niên trêu ghẹo cô gái, đánh bạn trai trong quán ăn","Đinh Xuân Đông và Đinh Văn Lương khai đã chửi bới, khiêu khích rồi dùng tay đánh nhiều lần vào vùng mặt, đầu một nam thanh niên sau khi xảy ra mâu thuẫn tại quán ăn ở Hà Nội.","Thấy cô gái không đáp lại lời trêu ghẹo, nhóm thanh niên quay sang gây gổ rồi đánh bạn trai của cô này trong quán ăn.",event_semantic_overlap_title_sim=0.88_desc_cont=0.08,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
pair_aca8633e5603,80403dc30adf91ae,994bc7ec7e68bd3c,vietnamnet.vn,vietnamnet.vn,https://vietnamnet.vn/thoi-su-sang-19-9-tim-thay-thi-the-nam-sinh-bi-nuoc-cuon-xuong-cong-o-ha-noi-2556535.html,https://vietnamnet.vn/tim-thay-thi-the-nam-sinh-bi-nuoc-cuon-xuong-cong-o-ha-noi-2556377.html,Thời sự sáng 19/9: Tìm thấy thi thể nam sinh bị nước cuốn xuống cống ở Hà Nội,Tìm thấy thi thể nam sinh bị nước cuốn xuống cống ở Hà Nội,"Tìm thấy thi thể nam sinh viên bị nước cuốn xuống cống ở Hà Nội; bắt khẩn cấp bố của cô gái mang thai giả trong vụ nhiều người kéo đến bệnh viện to tiếng,... là các thông tin thời sự đáng chú ý trong sáng 19/09/2026.","Một nam sinh viên bị nước cuốn xuống cống trên phố Viên, phường Đông Ngạc, TP Hà Nội. Lực lượng chức năng vừa tìm thấy thi thể nam sinh này.",event_semantic_overlap_title_sim=0.87_desc_cont=0.43,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
pair_6be6775bc572,5f87096b091b9a5c,1421b9f544626936,vietnamnet.vn,vietnamnet.vn,https://vietnamnet.vn/du-bao-thoi-tiet-31-8-2026-mien-bac-van-co-nang-35-do-trung-bo-mua-lon-2547685.html,https://vietnamnet.vn/du-bao-thoi-tiet-12-9-2026-mien-bac-nang-33-do-trung-bo-mua-lon-xoi-xa-2547654.html,"Dự báo thời tiết 31/8/2026: Miền Bắc vẫn có nắng 35 độ, Trung Bộ mưa lớn","Dự báo thời tiết 12/9/2026: Miền Bắc nắng 33 độ, Trung Bộ mưa lớn xối xả","Dự báo thời tiết ngày 31/8/2026, miền Bắc vẫn nắng đến 35 độ. Bắc Trung Bộ có mưa lớn, trong khi duyên hải Nam Trung Bộ có nơi nắng nóng. Cao nguyên Trung Bộ và Nam Bộ chiều tối mưa giông.","Dự báo thời tiết ngày 12/9/2026, miền Bắc chủ yếu ít mưa, ngày trời tạnh ráo và có nắng với nhiệt độ cao nhất 33 độ. Trung Bộ, cao nguyên Trung Bộ và Nam Bộ cục bộ có nơi mưa rất to.",event_semantic_overlap_title_sim=0.86_desc_cont=0.36,SAME_EVENT_INDEPENDENT,,,Borderline candidate: high similarity but independent journalistic phrasing
