event_cluster_id,first_published_at,cluster_size,n_publishers,publishers,sample_titles,span_days,inspection_verdict,inspection_note,highlighted
evt_7d88f2e2523f,2026-09-15T10:49:28Z,2,2,tuoitre.vn; vietnamnet.vn,"Đà Nẵng hoàn thành lấy mẫu ADN gần 26.000 mộ liệt sĩ, lớn nhất cả nước | Quảng Trị hoàn thành lấy mẫu sinh phẩm tại 22.864 phần mộ liệt sĩ",5.0,DIFFERENT,"Two provinces (Da Nang vs Quang Tri) finishing DNA sampling of martyr graves: same programme, different events",False
evt_cc8d4c14c903,2026-09-17T01:51:51Z,2,2,thanhnien.vn; vietnamnet.vn,"Cháy nhà trong hẻm ở TPHCM làm 2 người tử vong, 5 người bị thương | Vụ cháy nhà ở TP.HCM: Hợp sức phá cửa, cứu 5 người trong biển lửa",3.28,PLAUSIBLE,Likely the same HCMC house fire (5 rescued); publish dates 3 days apart,False
evt_bd8426ef24d4,2026-09-17T02:44:50Z,2,2,thanhnien.vn; vietnamnet.vn,"Nước sông dâng vượt mức báo động 3, người dân Thanh Hóa hối hả chạy lũ | Đập ngăn mặn tạm trên sông Cái Nha Trang liệu tháo dỡ kịp mùa mưa lũ?",3.29,DIFFERENT,Thanh Hoa river flood vs Nha Trang temporary dam: unrelated,False
evt_690a478e4007,2026-09-17T04:26:06Z,4,3,dantri.com.vn; thanhnien.vn; vietnamnet.vn,"TPHCM và Nam Bộ bước vào đợt mưa lớn diện rộng, miền Bắc khi nào giảm mưa? | 12 tỉnh, thành ở Nam bộ và Nam Trung bộ ứng phó đợt mưa lớn 400 mm | 4 tỉnh và toàn Nam Bộ mưa rất to, miền Bắc tạnh ráo đến khi nào? | Nam Trung Bộ và Nam Bộ có thể mưa to lên đến 400mm những ngày tới",3.38,MIXED,"Rain/forecast pieces; the 09-17 piece is an earlier forecast, the 3 pieces of 09-20 share the 400mm South-Central rain forecast",True
evt_204c4296541b,2026-09-17T07:37:55Z,2,2,dantri.com.vn; vietnamnet.vn,"Hà Nội: Nước tràn vào phòng trọ, nam sinh viên nửa đêm phải thuê nhà nghỉ | ""Rốn lũ"" Hà Nội ngập sâu, học sinh vẫn lội nước, ngồi xe kéo đến trường",2.96,DIFFERENT,"Hanoi flooding: student room flooded vs students wading to school: same topic, different stories",False
evt_4fdca0aae8f4,2026-09-18T03:33:27Z,2,2,thanhnien.vn; vietnamnet.vn,Rác thải trôi dạt phủ kín bãi biển Sầm Sơn sau mưa lũ | 6.000 khối rác trôi dạt vào bãi biển Sầm Sơn,2.21,SAME_EVENT,"Same 6,000 m3 of debris on Sam Son beach after floods",False
evt_d980a91d4492,2026-09-18T17:05:00Z,3,2,vietnamnet.vn; vnexpress.net,"Hình ảnh vết nứt dài 200m từ trên sườn đồi khiến hàng loạt hộ dân phải di dời khẩn | Đất đá từ sườn núi tràn xuống, vùi lấp tỉnh lộ ở Nghệ An | Lở núi vùi lấp tỉnh lộ, Nghệ An di dời khẩn cấp hàng loạt hộ dân",1.79,MIXED,"Two Nghe An landslide articles are one event, but the 200m-crack piece is a Thanh Hoa hill (QC pair 2)",True
evt_52229615707b,2026-09-20T03:15:20Z,2,2,vietnamnet.vn; vnexpress.net,Chủ tịch Hà Nội yêu cầu làm rõ trách nhiệm liên quan vụ nam sinh ngã xuống cống tử vong | Hà Nội yêu cầu làm rõ trách nhiệm vụ nam sinh ngã xuống cống tử vong,0.04,SAME_EVENT,Hanoi chairman orders accountability for student who fell into drain,False
evt_8372397093a9,2026-09-20T03:28:48Z,3,2,vietnamnet.vn; vnexpress.net,"Vinh hứng trận mưa kỷ lục trong hơn 40 năm, hệ thống thoát nước ứng phó ra sao? | Vinh hết ngập sau trận mưa kỷ lục | Vì sao Vinh nhanh hết ngập sau trận mưa kỷ lục 399 mm?",0.15,SAME_EVENT,Vinh record 399mm rain and quick drainage,False
evt_28284fada5b7,2026-09-20T03:37:13Z,3,3,dantri.com.vn; vietnamnet.vn; vnexpress.net,Tàu nước ngoài chở hơn 174.000 tấn quặng gặp sự cố ở Quảng Ngãi | Tàu chở hơn 174.000 tấn quặng sắt gặp sự cố ở vùng biển Quảng Ngãi | Tàu chở gần 175.000 tấn quặng sắt gặp sự cố trên vùng biển Quảng Ngãi,0.13,SAME_EVENT,Ore carrier (174-175k tonnes) in trouble off Quang Ngai; 3 publishers within ~3h,True
