event_cluster_id,first_published_at,cluster_size,n_publishers,publishers,sample_titles
evt_7d88f2e2523f,2026-09-15T10:49:28Z,2,2,tuoitre.vn; vietnamnet.vn,"Đà Nẵng hoàn thành lấy mẫu ADN gần 26.000 mộ liệt sĩ, lớn nhất cả nước | Quảng Trị hoàn thành lấy mẫu sinh phẩm tại 22.864 phần mộ liệt sĩ"
evt_cc8d4c14c903,2026-09-17T01:51:51Z,2,2,thanhnien.vn; vietnamnet.vn,"Cháy nhà trong hẻm ở TPHCM làm 2 người tử vong, 5 người bị thương | Vụ cháy nhà ở TP.HCM: Hợp sức phá cửa, cứu 5 người trong biển lửa"
evt_bd8426ef24d4,2026-09-17T02:44:50Z,2,2,thanhnien.vn; vietnamnet.vn,"Nước sông dâng vượt mức báo động 3, người dân Thanh Hóa hối hả chạy lũ | Đập ngăn mặn tạm trên sông Cái Nha Trang liệu tháo dỡ kịp mùa mưa lũ?"
evt_690a478e4007,2026-09-17T04:26:06Z,4,3,dantri.com.vn; thanhnien.vn; vietnamnet.vn,"TPHCM và Nam Bộ bước vào đợt mưa lớn diện rộng, miền Bắc khi nào giảm mưa? | 12 tỉnh, thành ở Nam bộ và Nam Trung bộ ứng phó đợt mưa lớn 400 mm | 4 tỉnh và toàn Nam Bộ mưa rất to, miền Bắc tạnh ráo đến khi nào? | Nam Trung Bộ và Nam Bộ có thể mưa to lên đến 400mm những ngày tới"
evt_204c4296541b,2026-09-17T07:37:55Z,2,2,dantri.com.vn; vietnamnet.vn,"Hà Nội: Nước tràn vào phòng trọ, nam sinh viên nửa đêm phải thuê nhà nghỉ | ""Rốn lũ"" Hà Nội ngập sâu, học sinh vẫn lội nước, ngồi xe kéo đến trường"
evt_4fdca0aae8f4,2026-09-18T03:33:27Z,2,2,thanhnien.vn; vietnamnet.vn,Rác thải trôi dạt phủ kín bãi biển Sầm Sơn sau mưa lũ | 6.000 khối rác trôi dạt vào bãi biển Sầm Sơn
evt_d980a91d4492,2026-09-18T17:05:00Z,3,2,vietnamnet.vn; vnexpress.net,"Hình ảnh vết nứt dài 200m từ trên sườn đồi khiến hàng loạt hộ dân phải di dời khẩn | Đất đá từ sườn núi tràn xuống, vùi lấp tỉnh lộ ở Nghệ An | Lở núi vùi lấp tỉnh lộ, Nghệ An di dời khẩn cấp hàng loạt hộ dân"
evt_52229615707b,2026-09-20T03:15:20Z,2,2,vietnamnet.vn; vnexpress.net,Chủ tịch Hà Nội yêu cầu làm rõ trách nhiệm liên quan vụ nam sinh ngã xuống cống tử vong | Hà Nội yêu cầu làm rõ trách nhiệm vụ nam sinh ngã xuống cống tử vong
evt_8372397093a9,2026-09-20T03:28:48Z,3,2,vietnamnet.vn; vnexpress.net,"Vinh hứng trận mưa kỷ lục trong hơn 40 năm, hệ thống thoát nước ứng phó ra sao? | Vinh hết ngập sau trận mưa kỷ lục | Vì sao Vinh nhanh hết ngập sau trận mưa kỷ lục 399 mm?"
evt_28284fada5b7,2026-09-20T03:37:13Z,3,3,dantri.com.vn; vietnamnet.vn; vnexpress.net,Tàu nước ngoài chở hơn 174.000 tấn quặng gặp sự cố ở Quảng Ngãi | Tàu chở hơn 174.000 tấn quặng sắt gặp sự cố ở vùng biển Quảng Ngãi | Tàu chở gần 175.000 tấn quặng sắt gặp sự cố trên vùng biển Quảng Ngãi
evt_9e8c7c964cbd,2026-09-20T04:05:13Z,2,2,dantri.com.vn; vnexpress.net,"Tổng Bí thư, Chủ tịch nước Tô Lâm lên đường công du Mỹ, Canada | Tổng Bí thư, Chủ tịch nước lên đường công du Mỹ, Canada"
evt_1717a7c157cd,2026-09-20T04:53:33Z,2,2,dantri.com.vn; vnexpress.net,"Bức Tường lần đầu kết hợp Rhyder | Bức Tường và RHYDER lần đầu song ca ""Tâm hồn của đá"", khán giả phấn khích"
evt_905493b56bab,2026-09-20T05:00:00Z,2,2,dantri.com.vn; tuoitre.vn,"Bộ trưởng Giáo dục: ""Cộng điểm IELTS có thể gây bất công"" | Bỏ điểm cộng IELTS: Công bằng hay mất động lực học ngoại ngữ?"
evt_999f3ec12485,2026-09-20T05:35:07Z,4,3,dantri.com.vn; tuoitre.vn; vietnamnet.vn,"Tài xế ô tô khách vi phạm nồng độ cồn 'kịch khung', cùng chủ xe bị phạt 70 triệu | Tài xế ô tô tải ở Hải Phòng bị phạt vì lái xe quá thời gian quy định | Người dân báo Cục trưởng CSGT xe chở gấp đôi số người, tài xế và chủ xe bị phạt 174 triệu | Từ tin báo đến Cục trưởng CSGT, tài xế và chủ ô tô khách bị phạt 174 triệu đồng"
evt_73749c945b8d,2026-09-20T05:46:54Z,3,3,thanhnien.vn; tuoitre.vn; vnexpress.net,Chưa thí điểm thi tốt nghiệp THPT trên máy tính năm 2027 | Chưa thí điểm thi tốt nghiệp THPT trên máy tính vào 2027 | Năm 2027 chưa thí điểm thi tốt nghiệp THPT trên máy tính
evt_97dfc8706783,2026-09-20T05:52:37Z,2,2,dantri.com.vn; thanhnien.vn,"Tuyển bóng chuyền nữ Việt Nam thất bại trước Trung Quốc ở tứ kết Asiad 20 | Thua Hồng Kông, bóng ném nữ Việt Nam còn cơ hội nào ở ASIAD 20?"
evt_4b34cba94edc,2026-09-20T06:24:36Z,2,2,dantri.com.vn; vietnamnet.vn,"Bức xúc cảnh người phụ nữ bị nhắc vẫn đổ cả túi rác xuống kênh Nhiêu Lộc, TPHCM | Xả thải bừa bãi, 2 người phụ nữ ở Tây Ninh bị phạt 1,5 triệu đồng"
evt_e78c61455165,2026-09-20T07:00:00Z,2,2,dantri.com.vn; tuoitre.vn,"Kỳ vọng Việt Nam và Mỹ sẽ tăng cường hợp tác trên các lĩnh vực cốt lõi | Nhu cầu Việt Nam, thế mạnh Mỹ: Điểm chạm của hợp tác"
evt_37807a2008c3,2026-09-20T07:41:00Z,2,2,thanhnien.vn; tuoitre.vn,"TP.HCM có một ‘con đường mùa thu’ đẹp như phim Hàn, giới trẻ mê mẩn | TP.HCM vào mùa lá rụng: Con đường 'mùa thu' gây sốt, nhiều người đến chụp ảnh"
evt_4da47432d789,2026-09-20T08:15:00Z,3,3,dantri.com.vn; thanhnien.vn; vietnamnet.vn,Tìm nhân chứng về nơi chôn cất liệt sĩ Mậu Thân 1968 ở Gò Vấp | TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ Mậu Thân 1968 ở Gò Vấp | TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ trận Tết Mậu Thân 1968
evt_833dd9b278ea,2026-09-20T08:26:08Z,2,2,dantri.com.vn; thanhnien.vn,"Houthi tấn công thủ đô Riyadh của Ả rập Xê út, xung đột leo thang | Houthi lần đầu tấn công thủ đô Ả Rập Xê Út"
evt_12d2d94d4b3f,2026-09-20T08:42:00Z,3,2,thanhnien.vn; tuoitre.vn,"Dự đoán tỷ số đội tuyển nữ Việt Nam thắng Thái Lan: Rượt đuổi kịch tính, Bích Thùy lập công | Xác định giờ thi đấu mới nhất đội tuyển nữ Việt Nam - Thái Lan: Nhiều kênh phát trực tiếp | Đội tuyển nữ Việt Nam hoàn tất các khâu chuẩn bị cho trận đấu với Thái Lan"
evt_b989975ff971,2026-09-20T08:49:00Z,2,2,dantri.com.vn; thanhnien.vn,Sáp nhập Trung tâm y tế Quân dân y Côn Đảo vào Bệnh viện Nhân dân 115 | Bệnh viện Nhân Dân 115 sẽ triển khai cơ sở 2 tại đặc khu Côn Đảo
evt_61e7f2ae8669,2026-09-20T11:54:42Z,3,3,dantri.com.vn; tuoitre.vn; vietnamnet.vn,"Xác minh clip ""thầy trò Đường Tăng"" cưỡi ngựa vào làn ô tô ở TPHCM | Xác minh clip '4 thầy trò Đường Tăng' cưỡi ngựa, đi bộ vào làn ô tô đường Phan Văn Khải | Clip nhóm người hóa trang ‘thầy trò Đường Tăng’ cưỡi ngựa, đi bộ trên làn ô tô"
evt_35200cc7220e,2026-09-20T12:10:00Z,2,2,dantri.com.vn; tuoitre.vn,"Phố Hàng Mã đông kín người, rực rỡ sắc màu dịp cận Trung thu | Phố Hàng Mã rực rỡ sắc màu đón ""biển người"" đến vui Trung thu sớm"
evt_13986f343684,2026-09-20T14:33:00Z,3,3,dantri.com.vn; tuoitre.vn; vietnamnet.vn,Bắt khẩn cấp 7 người trong vụ chạy ô tô tông vào đám đông tại phường Chợ Quán | Bắt khẩn cấp 7 đối tượng vụ lao ô tô vào đám đông trước quán nhậu ở TPHCM | Bắt khẩn cấp 7 đối tượng trong vụ ô tô tông người và loạt xe máy ở TPHCM
