article_id,title,url,canonical_url,publisher_domain,publisher_id,publisher_group_id,source_system,first_seen_at,published_at,timestamp_confidence,language,publisher_country,description,category,vietnam_relevance,duplicate_family_id,branch,collection_mode,raw_payload_ref
eaa28523d82bfe6c,CEO Golden Gate: Nhà máy mới giúp chúng tôi mở rộng sang lĩnh vực khác ngoài nhà hàng,https://vnexpress.net/ceo-golden-gate-nha-may-moi-giup-chung-toi-mo-rong-sang-linh-vuc-khac-ngoai-nha-hang-5122368.html,https://vnexpress.net/ceo-golden-gate-nha-may-moi-giup-chung-toi-mo-rong-sang-linh-vuc-khac-ngoai-nha-hang-5122368.html,vnexpress.net,vnexpress,,rss,2026-09-20T16:13:59Z,2026-09-20T07:53:14Z,publisher_reported,vi,VN,"Với việc đưa vào hoạt động nhà máy sản xuất thứ hai, Tổng giám đốc Golden Gate Đào Thế Vinh cho biết công ty có thể bước sang lĩnh vực khác ngoài kinh doanh nhà hàng.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=65242b3aaf9d5827f400c7334faadb0f7f77f8a5d1c09eecb9c93a2c5a053e49
d3789510a1cc6a00,"Ca sĩ Chi Dân lãnh 7 năm tù, Trúc Phương 6 năm vì ma túy",https://vietnamnet.vn/ca-si-chi-dan-lanh-7-nam-tu-co-tien-tu-thien-lanh-6-nam-tu-vi-ma-tuy-2551470.html,https://vietnamnet.vn/ca-si-chi-dan-lanh-7-nam-tu-co-tien-tu-thien-lanh-6-nam-tu-vi-ma-tuy-2551470.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-03T06:07:25Z,publisher_reported,vi,VN,"Ngày 3/9, TAND TPHCM tuyên phạt ca sĩ Nguyễn Trung Hiếu (Chi Dân) 7 năm tù, Nguyễn Đỗ Trúc Phương 6 năm và Andrea Aybar Carmona (An Tây) 8 năm tù, trong vụ án liên quan đường dây ma túy từ Pháp về Việt Nam.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=cdfa53537534169490af02ac7a4c5595d9e8130c9c858a855ffc181d1da07301
121c64b6075a4780,"Nhóm thanh niên sang Campuchia, tham gia đường dây lừa đảo xuyên quốc gia",https://vietnamnet.vn/nhom-thanh-nien-viet-vuot-bien-tham-gia-duong-day-toi-pham-xuyen-quoc-gia-2551567.html,https://vietnamnet.vn/nhom-thanh-nien-viet-vuot-bien-tham-gia-duong-day-toi-pham-xuyen-quoc-gia-2551567.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T05:38:15Z,publisher_reported,vi,VN,"Lưu Sinh Diễn cùng 8 thanh niên sang Campuchia theo lời mời làm việc lương cao, sau đó được đưa vào một tổ chức do người Trung Quốc cầm đầu, giả danh nhân viên Shopee để lừa hơn 1,3 tỷ đồng của 7 người Việt.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=5a77f286d8568fc2a9e3eec7bb5d0b55e25c994fd036657ea0705bf346be8780
87dd3c07040d049f,"Nghi UAV xuất hiện gần Cát Bi, 2 chuyến bay chuyển hướng xuống Nội Bài",https://vietnamnet.vn/nghi-uav-xuat-hien-gan-cat-bi-2-chuyen-bay-phai-ha-canh-xuong-noi-bai-2551527.html,https://vietnamnet.vn/nghi-uav-xuat-hien-gan-cat-bi-2-chuyen-bay-phai-ha-canh-xuong-noi-bai-2551527.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T05:35:53Z,publisher_reported,vi,VN,"Một vật thể bay phát sáng, nghi UAV, xuất hiện cách sân bay Cát Bi khoảng 8km tối 2/9, khiến 3 chuyến bay phải điều chỉnh phương án khai thác, trong đó 2 chuyến chuyển hướng hạ cánh tại Nội Bài.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=f93e90f6cd6011ef2d248a1bd25ebe5cbd8eb19b17249ee4bfec7a9dd95136d9
d7bf41f4d4073962,Nghi phạm dọa giết gia đình bạn gái cũ trước khi gây án 3 người chết ở Đồng Nai,https://vietnamnet.vn/nghi-pham-doa-giet-gia-dinh-ban-gai-cu-truoc-khi-gay-an-3-nguoi-chet-o-dong-nai-2551523.html,https://vietnamnet.vn/nghi-pham-doa-giet-gia-dinh-ban-gai-cu-truoc-khi-gay-an-3-nguoi-chet-o-dong-nai-2551523.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-03T16:52:15Z,publisher_reported,vi,VN,"Nghi phạm Nguyễn Đức Anh cầm dao, tìm cách đột nhập nhà bạn gái cũ ở Đồng Nai, dọa giết cả gia đình này trước khi sang nhà bên cạnh gây án khiến 3 mẹ con tử vong.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=dee50c9a90f4ce8076f0992b99e1b242728104c0b4766ce8ab3e1f2976742f78
6ed2726d956583bf,Bắt giữ kẻ cầm dao dọa giết nhân viên siêu thị ở Hà Nội để cướp tài sản,https://vietnamnet.vn/bat-giu-ke-cam-dao-doa-giet-nhan-vien-sieu-thi-o-ha-noi-de-cuop-tai-san-2551536.html,https://vietnamnet.vn/bat-giu-ke-cam-dao-doa-giet-nhan-vien-sieu-thi-o-ha-noi-de-cuop-tai-san-2551536.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T05:36:24Z,publisher_reported,vi,VN,"Cầm dao khống chế, đe dọa giết nhân viên siêu thị để cướp tiền nhưng bất thành, Lường Văn Tiến chuyển sang giật chiếc điện thoại rồi lên xe máy bỏ trốn.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=a1a4acb4e9af5db0146d63f636f92e8f114c758c82dd94f9b98a9c355f2e886f
2cc37868c9007cdb,"Ngăn chặn vụ hơn 40 thanh thiếu niên mang dao, kiếm đến điểm hẹn &apos;hỗn chiến&apos;",https://vietnamnet.vn/ngan-chan-vu-hon-40-thanh-thieu-nien-mang-dao-kiem-den-diem-hen-hon-chien-2551520.html,https://vietnamnet.vn/ngan-chan-vu-hon-40-thanh-thieu-nien-mang-dao-kiem-den-diem-hen-hon-chien-2551520.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T05:36:38Z,publisher_reported,vi,VN,"Hơn 40 thanh thiếu niên mang mã tấu, đao, kiếm, thương, chĩa ba... đến xã Vĩnh Mỹ để giải quyết mâu thuẫn nhưng bị công an ngăn chặn.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=16eaafde865a17148f76a18cd2247b9f94fa0a426fce24b65c886c0467f22ca2
ba72349270a695cd,"Khởi tố Nguyễn Văn Năm, cựu Phó viện trưởng thuộc Trường Đại học Trưng Vương",https://vietnamnet.vn/khoi-to-nguyen-van-nam-cuu-pho-vien-truong-thuoc-truong-dai-hoc-trung-vuong-2551551.html,https://vietnamnet.vn/khoi-to-nguyen-van-nam-cuu-pho-vien-truong-thuoc-truong-dai-hoc-trung-vuong-2551551.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-03T08:40:02Z,publisher_reported,vi,VN,"Cựu Phó viện trưởng thuộc Trường Đại học Trưng Vương bị bắt với cáo buộc lạm quyền, tạo điều kiện để bị can khác quản lý lớp đào tạo tại Hà Giang.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=aaf96ff5670d2b1c2dfaabb00623e866334cc1f8b6c94c1dee19a984bbb89671
089d16461f3210f2,"Lời khai của Nguyễn Đức Anh, nghi phạm sát hại 3 người trong một gia đình ở Đồng Nai",https://vietnamnet.vn/bo-cong-an-thong-tin-vu-an-mang-khien-3-nguoi-trong-mot-gia-dinh-tu-vong-2551502.html,https://vietnamnet.vn/bo-cong-an-thong-tin-vu-an-mang-khien-3-nguoi-trong-mot-gia-dinh-tu-vong-2551502.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-04T04:28:56Z,publisher_reported,vi,VN,"Nguyễn Đức Anh, 21 tuổi, khai có quan hệ tình cảm với chị Đ.T.P.A. Sau khi uống rượu, Anh mang dao đến nhà bạn gái cũ, dọa giết cả gia đình nhưng không đột nhập được, sau đó sang nhà hàng xóm và tấn công khiến 3 mẹ con tử vong.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=3dbbd4822fcd5700e6e2f958693d159c3b075edfe1f08c6f56a45b66e82b78b1
496f8ce0da50a425,Danh tính nghi phạm gây án mạng 3 mẹ con tử vong ở Đồng Nai,https://vietnamnet.vn/danh-tinh-nghi-pham-gay-an-mang-3-me-con-tu-vong-o-dong-nai-2551495.html,https://vietnamnet.vn/danh-tinh-nghi-pham-gay-an-mang-3-me-con-tu-vong-o-dong-nai-2551495.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-03T16:51:30Z,publisher_reported,vi,VN,Nguyễn Đức Anh được xác định là nghi phạm gây trọng án ở Đồng Nai khiến 3 mẹ con tử vong và người chồng trọng thương.,,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=f2f36c370c3ccfe3898e6e4f576bdb8487b6cdeb79f3811ea1393c0e1d54a359
4f4eb6ee8bdd516f,"Sau 2/9, người lao động có thể được nghỉ 4 ngày liên tiếp trong tháng 11",https://vietnamnet.vn/sau-2-9-nguoi-lao-dong-co-the-duoc-nghi-4-ngay-lien-tiep-trong-thang-11-2551426.html,https://vietnamnet.vn/sau-2-9-nguoi-lao-dong-co-the-duoc-nghi-4-ngay-lien-tiep-trong-thang-11-2551426.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-03T10:56:02Z,publisher_reported,vi,VN,"Sau kỳ nghỉ Quốc khánh 2/9, người lao động có thể tiếp tục được nghỉ 4 ngày liên tiếp vào tháng 11, nhân Ngày Văn hóa Việt Nam 24/11.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=95ad4f91718c769d567b54b2703559347146d27399c18fe051f1fb33f8a967df
3a063597509fc578,Danh tính người đàn ông rơi từ cầu Vĩnh Phú ở Phú Thọ,https://vietnamnet.vn/danh-tinh-nguoi-dan-ong-roi-tu-cau-vinh-phu-o-phu-tho-2551563.html,https://vietnamnet.vn/danh-tinh-nguoi-dan-ong-roi-tu-cau-vinh-phu-o-phu-tho-2551563.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-03T08:23:55Z,publisher_reported,vi,VN,Một người đàn ông rơi từ cầu Vĩnh Phú xuống sông Lô được lực lượng Cảnh sát 113 Công an tỉnh Phú Thọ phối hợp cùng người dân kịp thời giải cứu.,,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=a6ac3d57fec16b1e048270c11f52a49369063b9a0c80c56fcdf8ee4cdc516a8a
96f0d49bf2f8b124,"Nhận lương &apos;cực tốt&apos;, nhiều người chọn nghỉ lễ Quốc khánh 2/9 muộn",https://vietnamnet.vn/nhan-luong-cuc-tot-nhieu-nguoi-chon-nghi-le-quoc-khanh-2-9-muon-2551394.html,https://vietnamnet.vn/nhan-luong-cuc-tot-nhieu-nguoi-chon-nghi-le-quoc-khanh-2-9-muon-2551394.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T05:33:53Z,publisher_reported,vi,VN,"Thay vì nghỉ trọn 5 ngày dịp Quốc khánh 2/9, một bộ phận người lao động chọn đi làm để hưởng tiền lương và chế độ cao hơn ngày thường, sau đó mới sắp xếp đưa gia đình đi chơi, vừa tránh cảnh đông đúc vừa giảm chi phí.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=9229bd0280379b9c5087c6d4f1fc1ed11f172262abc32cab90983adb48f58dc1
1c5e102a199050e0,TPHCM tính trao thêm quyền quản lý đường bộ cho cấp xã,https://vietnamnet.vn/tphcm-tinh-trao-them-quyen-quan-ly-duong-bo-cho-cap-xa-2550985.html,https://vietnamnet.vn/tphcm-tinh-trao-them-quyen-quan-ly-duong-bo-cho-cap-xa-2550985.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T05:24:29Z,publisher_reported,vi,VN,"Sở Xây dựng TPHCM đang nghiên cứu tăng thẩm quyền quản lý đường bộ cho cấp xã, đồng thời giữ quản lý tập trung các tuyến liên vùng, quy mô lớn, quan trọng.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=ed18dc8d573ed7af1d0f58e66e1044456b4e662982a5d03cf4d3e5f457baf673
80235a2397c8f710,Vụ phát hiện đôi dép trắng và xe máy trên cầu: Tìm thấy thi thể nữ sinh 17 tuổi,https://vietnamnet.vn/vu-phat-hien-doi-dep-trang-va-xe-may-tren-cau-tim-thay-thi-the-nu-sinh-17-tuoi-2551617.html,https://vietnamnet.vn/vu-phat-hien-doi-dep-trang-va-xe-may-tren-cau-tim-thay-thi-the-nu-sinh-17-tuoi-2551617.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T05:38:41Z,publisher_reported,vi,VN,"Sau nhiều ngày tìm kiếm, lực lượng chức năng phát hiện thi thể nữ sinh 17 tuổi, trên sông Đạ Dâng ở tỉnh Lâm Đồng, cách nơi xảy ra sự việc ban đầu gần 1km.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=d77dd1f626014984731da1c887e4b85049db127132e44e9b49c8f638173ff5f3
2fff58ecbeae7d89,Danh tính người phụ nữ môi giới &apos;chạy án&apos; cho vợ chồng Phú Lê,https://vietnamnet.vn/bat-doi-tuong-moi-gioi-chay-an-cho-nhom-phu-le-2551605.html,https://vietnamnet.vn/bat-doi-tuong-moi-gioi-chay-an-cho-nhom-phu-le-2551605.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-04T01:02:58Z,publisher_reported,vi,VN,"Thiếu tướng Nguyễn Quốc Toản, Chánh Văn phòng, người phát ngôn Bộ Công an cho biết vụ án liên quan đối tượng Lê Văn Phú (tức Phú Lê) phát sinh tình tiết về hành vi lừa đảo chiếm đoạt tài sản thông qua việc môi giới “chạy án”.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=00fc25f43f38703bffa2ff66679b55e469cdbe2d566209c369fbc0b0f806ffa0
