pair_id,bucket,left_article_id,right_article_id,left_publisher,right_publisher,left_url,right_url,left_title,right_title,left_description,right_description,title_jaccard,desc_jaccard,number_jaccard,hours_apart,predicted_relation,manual_relation,duplicate_family_id,review_notes
qc_0001,POSITIVE_SYNDICATED_COPY,e46ff5c8086409cd,0feea08b6ada8155,vietnamnet,vietnamnet,https://vietnamnet.vn/tphcm-dem-khong-ngu-ruc-sac-do-mung-viet-nam-vo-dich-2549531.html,https://vietnamnet.vn/bien-nguoi-tphcm-di-bao-xuyen-dem-mung-tuyen-viet-nam-vo-dich-2549546.html,"TPHCM đêm không ngủ, rực sắc đỏ mừng Việt Nam vô địch",Biển người TPHCM &apos;đi bão&apos; xuyên đêm mừng tuyển Việt Nam vô địch,"Cờ đỏ sao vàng tung bay, tiếng hô “Việt Nam vô địch” vang lên khắp các tuyến đường TPHCM, hòa cùng niềm vui vỡ òa của người hâm mộ sau khi đội tuyển Việt Nam đăng quang ASEAN Cup 2026.","Cờ đỏ sao vàng tung bay, tiếng hô “Việt Nam vô địch” vang lên khắp các tuyến đường TPHCM, hòa cùng niềm vui vỡ òa của người hâm mộ sau khi đội tuyển Việt Nam đăng quang ASEAN Cup 2026.",0.15,1.0,1.0,8.7,SYNDICATED_COPY,,dupfam_effca3d27c6d,description_overlap>=0.6
qc_0002,POSITIVE_SYNDICATED_COPY,3d50a3291203a9b6,901b56cfd51a5f2a,dantri,vnexpress,https://dantri.com.vn/thoi-su/tong-bi-thu-chu-tich-nuoc-len-duong-cong-du-my-canada-20260920121017149.htm,https://vnexpress.net/tong-bi-thu-chu-tich-nuoc-to-lam-len-duong-cong-du-my-canada-5122430.html,"Tổng Bí thư, Chủ tịch nước lên đường công du Mỹ, Canada","Tổng Bí thư, Chủ tịch nước Tô Lâm lên đường công du Mỹ, Canada","Ngày 20/9, Tổng Bí thư, Chủ tịch nước Tô Lâm lên đường tham dự Phiên thảo luận cấp cao Đại hội đồng Liên Hợp Quốc khóa 81, hoạt động song phương tại Mỹ và thăm cấp Nhà nước tới Canada.","Tổng Bí thư, Chủ tịch nước Tô Lâm lên đường tham dự Phiên thảo luận cấp cao Đại hội đồng LHQ, hoạt động song phương tại Mỹ và thăm cấp nhà nước tới Canada.",0.714,0.738,,1.1,SYNDICATED_COPY,,dupfam_63dd0bee34bf,description_overlap>=0.6
qc_0003,REJECTED_BORDERLINE,ff9c31af0a933733,7afb1a78ee56f8bb,vietnamnet,vietnamnet,https://vietnamnet.vn/du-bao-thoi-tiet-15-9-dong-bang-bac-bo-mua-rat-lon-ha-noi-giam-con-27-do-2547644.html,https://vietnamnet.vn/du-bao-thoi-tiet-16-9-ha-noi-va-6-tinh-tiep-tuc-mua-lon-co-noi-tren-250mm-2514376.html,"Dự báo thời tiết 15/9: Đồng bằng Bắc Bộ mưa rất lớn, Hà Nội giảm còn 27 độ","Dự báo thời tiết 16/9: Hà Nội và 6 tỉnh tiếp tục mưa lớn, có nơi trên 250mm","Dự báo thời tiết ngày 15/9/2026, nhiều nơi ở miền Bắc tiếp tục hứng mưa lớn, trong đó phía Nam tỉnh Phú Thọ, Hưng Yên, Ninh Bình và Thanh Hóa có mưa to đến rất to. Trung Bộ đến cao nguyên Trung Bộ và Nam Bộ mưa to cục bộ.","Dự báo thời tiết ngày 16/9/2026, nhiều nơi ở miền Bắc và Thanh Hóa, Nghệ An tiếp tục mưa lớn, trong đó Hà Nội có mưa to đến rất to. Trung Bộ đến cao nguyên Trung Bộ và Nam Bộ mưa to cục bộ.",0.125,0.559,0.286,25.0,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
qc_0004,REJECTED_BORDERLINE,5c864d05b9d57b16,7df1bcf8bd615120,vietnamnet,vietnamnet,https://vietnamnet.vn/cong-an-tp-can-tho-bat-tam-giam-chu-tai-khoan-facebook-tphuoc-ly-2550391.html,https://vietnamnet.vn/bat-tam-giam-nguoi-dan-ong-bi-cao-buoc-loi-dung-quyen-tu-do-dan-chu-2549903.html,Công an TP Cần Thơ bắt tạm giam chủ tài khoản Facebook &apos;Tphuoc Ly&apos;,Bắt tạm giam người đàn ông bị cáo buộc lợi dụng quyền tự do dân chủ,"Cơ quan Cảnh sát điều tra Công an TP Cần Thơ khởi tố, bắt tạm giam Lý Tín Phước, chủ tài khoản Facebook “Tphuoc Ly”, để điều tra hành vi lợi dụng các quyền tự do dân chủ xâm phạm lợi ích của Nhà nước, quyền, lợi ích hợp pháp của tổ chức, cá nhân.","Công an TP Cần Thơ khởi tố, bắt tạm giam Nguyễn Ngọc Thảo để điều tra cáo buộc lợi dụng các quyền tự do dân chủ xâm phạm lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân.",0.077,0.541,,26.4,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
qc_0005,REJECTED_BORDERLINE,7289812c56e27cc3,1f9b09fc51059260,vietnamnet,vietnamnet,https://vietnamnet.vn/cuu-truong-cong-an-phu-quoc-bi-tuyen-phat-18-nam-tu-2556437.html,https://vietnamnet.vn/cuu-truong-cong-an-phu-quoc-bi-de-nghi-14-16-nam-tu-2554348.html,Cựu Trưởng Công an Phú Quốc bị tuyên phạt 18 năm tù,Cựu Trưởng Công an Phú Quốc bị đề nghị 14-16 năm tù,TAND tỉnh An Giang vừa tuyên phạt bị cáo Lê Văn Mót (cựu Trưởng Công an TP Phú Quốc cũ) 18 năm tù về tội Lừa đảo chiếm đoạt tài sản.,Cựu Trưởng Công an TP Phú Quốc (cũ) Lê Văn Mót bị VKSND tỉnh An Giang đề nghị phạt 14-16 năm tù về tội Lừa đảo chiếm đoạt tài sản.,0.438,0.5,0.0,162.8,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
qc_0006,REJECTED_BORDERLINE,960e9db39c4b6636,39579b0717bdf1f5,vietnamnet,vietnamnet,https://vietnamnet.vn/bo-doi-dao-900m-dat-phat-hien-them-26-hai-cot-liet-si-o-cong-vien-le-thi-rieng-2548730.html,https://vietnamnet.vn/tim-thay-them-24-hai-cot-liet-si-cung-khan-chai-dau-gio-o-cong-vien-le-thi-rieng-2547833.html,"Bộ đội đào 900m³ đất, phát hiện thêm 26 hài cốt liệt sĩ ở công viên Lê Thị Riêng","Tìm thấy thêm 24 hài cốt liệt sĩ cùng khăn, chai dầu gió ở công viên Lê Thị Riêng","Bộ Tư lệnh TPHCM cho biết, trong ngày 24/8, đội quy tập đào hơn 900m³ đất, tìm được thêm 26 hài cốt liệt sĩ cùng 10 bộ di vật kèm theo tại rãnh mộ thứ hai ở công viên Lê Thị Riêng.","Bộ Tư lệnh TPHCM cho biết, đội quy tập vừa tìm được thêm 24 hài cốt liệt sĩ cùng nhiều di vật kèm theo như chai dầu gió, khăn... tại rãnh mộ thứ hai ở công viên Lê Thị Riêng.",0.286,0.473,0.2,72.8,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
qc_0007,REJECTED_BORDERLINE,c45cf14472cb741b,a59fa3758f13c85e,vietnamnet,vietnamnet,https://vietnamnet.vn/cong-an-vao-cuoc-vu-nguoi-dan-ong-danh-cho-alaska-o-da-lat-2551581.html,https://vietnamnet.vn/nguoi-dan-ong-danh-cho-alaska-o-da-lat-bi-phat-2-trieu-dong-2552293.html,Công an vào cuộc vụ người đàn ông đánh chó Alaska ở Đà Lạt,Người đàn ông đánh chó Alaska ở Đà Lạt bị phạt 2 triệu đồng,"Công an phường Xuân Hương - Đà Lạt (tỉnh Lâm Đồng) đã vào cuộc xác minh, làm rõ việc một người đàn ông đánh đập con chó Alaska tại quảng trường Lâm Viên.",Người đàn ông bị Công an phường Xuân Hương - Đà Lạt (tỉnh Lâm Đồng) xử phạt 2 triệu đồng sau khi có hành động đánh đập con chó Alaska tại quảng trường Lâm Viên.,0.444,0.455,,353.8,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
qc_0008,REJECTED_BORDERLINE,4c023aab0e6ea006,3716c04a309726f9,vietnamnet,vietnamnet,https://vietnamnet.vn/du-bao-thoi-tiet-8-9-2026-khong-khi-lanh-sap-tran-ve-mien-bac-gay-mua-giong-2547664.html,https://vietnamnet.vn/du-bao-thoi-tiet-7-9-2026-mien-bac-co-noi-nang-nong-sap-don-khong-khi-lanh-yeu-2547666.html,"Dự báo thời tiết 8/9/2026: Không khí lạnh sắp tràn về miền Bắc, gây mưa giông","Dự báo thời tiết 7/9/2026: Miền Bắc có nơi nắng nóng, sắp đón không khí lạnh yếu","Dự báo thời tiết ngày 8/9/2026, Bắc Bộ có nơi nắng nóng trước khi đón không khí lạnh đầu mùa gây mưa giông. Từ Trung Bộ đến cao nguyên Trung Bộ và Nam Bộ vẫn có mưa to cục bộ vào chiều tối.","Dự báo thời tiết ngày 7/9/2026, miền Bắc duy trì trời nắng, khoảng giữa tuần đón không khí lạnh yếu gây mưa giông rải rác. Từ Trung Bộ đến cao nguyên Trung Bộ và Nam Bộ có mưa to cục bộ vào chiều tối.",0.25,0.45,0.5,48.5,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
qc_0009,PREDICTED_SAME_EVENT_INDEPENDENT,feff47017b6011eb,6a2d5c87c344a009,vietnamnet,vietnamnet,https://vietnamnet.vn/ham-chung-cu-ngap-sau-2m-khoang-30-xe-may-cung-nhieu-tai-san-bi-nham-chim-2556944.html,https://vietnamnet.vn/clip-o-to-di-qua-tao-song-lam-sap-thanh-chan-nuoc-o-at-tran-vao-ham-chung-cu-2556828.html,"Hầm chung cư ngập sâu 2m, khoảng 30 xe máy cùng nhiều tài sản bị nhấm chìm","Clip ô tô đi qua tạo sóng làm sập thanh chắn, nước ồ ạt tràn vào hầm chung cư","Xe bán tải đi qua đoạn đường ngập tạo sóng nước, làm sập thanh chắn cửa hầm chung cư ở Nghệ An. Nước từ đường ồ ạt tràn xuống, nhấn chìm khoảng 30 xe máy cùng nhiều tài sản.","Xe bán tải đi qua đoạn đường ngập sâu tạo sóng nước, làm sập thanh chắn khiến nước từ ngoài đường ồ ạt tràn xuống hầm để xe một chung cư ở Nghệ An.",0.062,0.449,,18.6,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
qc_0010,PREDICTED_SAME_EVENT_INDEPENDENT,c3197ec8b15a025e,225d424669d60057,vietnamnet,vietnamnet,https://vietnamnet.vn/nguoi-dan-gop-y-ve-de-xuat-cong-trinh-khai-hoan-mon-ben-ho-hoan-kiem-2553253.html,https://vietnamnet.vn/cong-bo-phoi-canh-khu-vuc-quanh-ho-hoan-kiem-co-diem-nhan-bieu-tuong-2552646.html,Người dân góp ý về đề xuất công trình &apos;Khải hoàn môn&apos; bên hồ Hoàn Kiếm,"Công bố phối cảnh khu vực quanh hồ Hoàn Kiếm có điểm nhấn, biểu tượng","Hà Nội đang lấy ý kiến người dân về phương án quy hoạch kiến trúc, cảnh quan khu vực hồ Hoàn Kiếm và vùng phụ cận. Trong đó, thiết kế Khải hoàn môn nhận được sự quan tâm của đông đảo người dân.","UBND TP Hà Nội đang lấy ý kiến người dân về phương án quy hoạch kiến trúc cảnh quan khu vực hồ Hoàn Kiếm và vùng phụ cận. Theo phối cảnh, nhiều công trình được bố trí tạo điểm nhấn và biểu tượng.",0.074,0.431,,67.6,SAME_EVENT_INDEPENDENT,,,headline_or_lede_overlap_without_copy_level_description_match
