qc_row,stratum,left_article_id,right_article_id,manual_label,failure_pattern,rationale
0,INTRA_CLUSTER_WEAKEST_LINK,dc116c4ddadfebd1,8b26e66b9f645a84,UNCERTAIN,WEATHER_SERIES,"Same storm (no.4), different phases 3 days apart; weather storyline"
1,INTRA_CLUSTER_WEAKEST_LINK,0a51817f8cd346db,572ebbfb822ce35d,SAME_EVENT,NONE,"Same Xoi Lac TV illegal-streaming case, two defendants"
2,INTRA_CLUSTER_WEAKEST_LINK,a2b417de7902e09f,d2867ef69b042231,DIFFERENT_EVENT,GENERIC_INCIDENT,Landslide in Nghe An vs crack on hill in Thanh Hoa: different places
3,INTRA_CLUSTER_WEAKEST_LINK,88a7d7c9797f17bc,d05f4b924fdca108,DIFFERENT_EVENT,GENERIC_INCIDENT,Two unrelated truck accidents (Lao Cai vs Khanh Hoa)
4,INTRA_CLUSTER_WEAKEST_LINK,a309b88d087b50a6,3f7db849b7502ef8,DIFFERENT_EVENT,GENERIC_INCIDENT,Different traffic-fine cases (Hai Phong truck vs bus 174m dong fine)
5,INTRA_CLUSTER_WEAKEST_LINK,6c4abbe0225af31e,d87bb03aa0428fce,DIFFERENT_EVENT,GENERIC_INCIDENT,Two different apartment/house fires in Hanoi
6,INTRA_CLUSTER_WEAKEST_LINK,951fa0f137c57831,229e6a3ddb48f8cc,SAME_EVENT,NONE,Same Vinh Long bones-in-car investigation
7,INTRA_CLUSTER_WEAKEST_LINK,d6fb0d0caa2cd83b,3e867216c0aec283,UNCERTAIN,SAME_TOPIC_DIFFERENT_EVENT,Same FIFA ASEAN Cup run-up but different angles (naturalised players vs defence)
8,INTRA_CLUSTER_WEAKEST_LINK,b52554bdecf06ae8,5f94c1a57a290f6c,DIFFERENT_EVENT,NEWS_DIGEST,Daily news digests of different days (22/8 vs 23/8)
9,INTRA_CLUSTER_WEAKEST_LINK,f7826999aad1e45e,d6fb5d659b1e4fdb,DIFFERENT_EVENT,GENERIC_INCIDENT,Two different fatal motorbike accidents in HCMC
10,INTRA_CLUSTER_WEAKEST_LINK,45f4fe952b8b3ad9,ca657e25ca4ff2ec,UNCERTAIN,GENERIC_INCIDENT,"Cars hitting motorbikes in HCMC; 5 bikes at bar vs 3 bikes at red light, likely different incidents"
11,INTRA_CLUSTER_WEAKEST_LINK,aa25e93e9415248a,70ead58afccac978,DIFFERENT_EVENT,WEATHER_SERIES,Weather digests for 1/9 vs 5/9
12,INTRA_CLUSTER_WEAKEST_LINK,2bded7df1df9f911,545bc5305b21c916,SAME_EVENT,NONE,"Same holiday exodus (2/9 holiday, Hanoi gateways)"
