qc_row,stratum,left_article_id,right_article_id,manual_label,failure_pattern,rationale,left_publisher,right_publisher,left_title,right_title,left_event_cluster_id,right_event_cluster_id,cosine_distance,days_apart,labeler
0,INTRA_CLUSTER_WEAKEST_LINK,dc116c4ddadfebd1,8b26e66b9f645a84,UNCERTAIN,WEATHER_SERIES,"Same storm (no.4), different phases 3 days apart; weather storyline",vietnamnet.vn,vietnamnet.vn,"Bão số 4 dị thường xoay hướng liên tục, mưa lũ miền Bắc khó lường","Vùng áp thấp từ bão số 4 Narra đang tan, miền Bắc sắp đón đợt mưa lớn mới",evt_69a0bf5114aa,evt_69a0bf5114aa,0.2987,3.037,Claude (provisional; needs human spot-check)
1,INTRA_CLUSTER_WEAKEST_LINK,0a51817f8cd346db,572ebbfb822ce35d,SAME_EVENT,NONE,"Same Xoi Lac TV illegal-streaming case, two defendants",vietnamnet.vn,vietnamnet.vn,Vụ web lậu 'Xôi Lạc TV': Nhân vật tuyên truyền văn hóa phẩm đồi trụy,Vụ web lậu Xôi Lạc TV: Doanh nhân nhạy bén cũng 'nhúng chàm',evt_ae02bcef6393,evt_ae02bcef6393,0.2985,4.472,Claude (provisional; needs human spot-check)
2,INTRA_CLUSTER_WEAKEST_LINK,a2b417de7902e09f,d2867ef69b042231,DIFFERENT_EVENT,GENERIC_INCIDENT,Landslide in Nghe An vs crack on hill in Thanh Hoa: different places,vietnamnet.vn,vietnamnet.vn,"Lở núi vùi lấp tỉnh lộ, Nghệ An di dời khẩn cấp hàng loạt hộ dân",Hình ảnh vết nứt dài 200m từ trên sườn đồi khiến hàng loạt hộ dân phải di dời khẩn,evt_d980a91d4492,evt_d980a91d4492,0.298,1.787,Claude (provisional; needs human spot-check)
3,INTRA_CLUSTER_WEAKEST_LINK,88a7d7c9797f17bc,d05f4b924fdca108,DIFFERENT_EVENT,GENERIC_INCIDENT,Two unrelated truck accidents (Lao Cai vs Khanh Hoa),vietnamnet.vn,vietnamnet.vn,"Hai xe đầu kéo va chạm, tài xế mắc kẹt trong cabin biến dạng","Xe tải lật, cày nát loạt hộ lan trên cao tốc Vân Phong - Nha Trang",evt_9b003869f21a,evt_9b003869f21a,0.2963,1.06,Claude (provisional; needs human spot-check)
4,INTRA_CLUSTER_WEAKEST_LINK,a309b88d087b50a6,3f7db849b7502ef8,DIFFERENT_EVENT,GENERIC_INCIDENT,Different traffic-fine cases (Hai Phong truck vs bus 174m dong fine),dantri.com.vn,tuoitre.vn,Tài xế ô tô tải ở Hải Phòng bị phạt vì lái xe quá thời gian quy định,"Người dân báo Cục trưởng CSGT xe chở gấp đôi số người, tài xế và chủ xe bị phạt 174 triệu",evt_999f3ec12485,evt_999f3ec12485,0.2961,0.044,Claude (provisional; needs human spot-check)
5,INTRA_CLUSTER_WEAKEST_LINK,6c4abbe0225af31e,d87bb03aa0428fce,DIFFERENT_EVENT,GENERIC_INCIDENT,Two different apartment/house fires in Hanoi,vietnamnet.vn,vietnamnet.vn,"Cháy nhà 6 tầng ở Hà Nội, cảnh sát cắt thép 'chuồng cọp' giải cứu người mắc kẹt",Cháy căn hộ chung cư ở Hà Nội lúc rạng sáng,evt_94576c804839,evt_94576c804839,0.2952,2.921,Claude (provisional; needs human spot-check)
6,INTRA_CLUSTER_WEAKEST_LINK,951fa0f137c57831,229e6a3ddb48f8cc,SAME_EVENT,NONE,Same Vinh Long bones-in-car investigation,vietnamnet.vn,vietnamnet.vn,Tìm thấy túi da chứa 144 triệu đồng cạnh xương người trong ô tô dưới kênh,Giám đốc Công an chỉ đạo điều tra vụ phát hiện xương người trong ô tô dưới kênh,evt_03d707ffcf9c,evt_03d707ffcf9c,0.2948,0.212,Claude (provisional; needs human spot-check)
7,INTRA_CLUSTER_WEAKEST_LINK,d6fb0d0caa2cd83b,3e867216c0aec283,UNCERTAIN,SAME_TOPIC_DIFFERENT_EVENT,Same FIFA ASEAN Cup run-up but different angles (naturalised players vs defence),dantri.com.vn,dantri.com.vn,Vì sao tuyển Việt Nam không gọi 2 cầu thủ mới nhập tịch dự FIFA ASEAN Cup?,Nỗi lo lớn của đội tuyển Việt Nam trước thềm FIFA ASEAN Cup,evt_a2b1e783b52c,evt_a2b1e783b52c,0.2936,0.224,Claude (provisional; needs human spot-check)
8,INTRA_CLUSTER_WEAKEST_LINK,b52554bdecf06ae8,5f94c1a57a290f6c,DIFFERENT_EVENT,NEWS_DIGEST,Daily news digests of different days (22/8 vs 23/8),vietnamnet.vn,vietnamnet.vn,"Tin tức Thời sự 23/8: Bão số 4 Narra mạnh lên, cháy căn hộ chung cư TPHCM","Tin thời sự 22/8: Khởi tố TikToker Phạm Tuấn, bão số 4 gây mưa lớn diện rộng",evt_af958af6c505,evt_af958af6c505,0.2933,0.991,Claude (provisional; needs human spot-check)
9,INTRA_CLUSTER_WEAKEST_LINK,f7826999aad1e45e,d6fb5d659b1e4fdb,DIFFERENT_EVENT,GENERIC_INCIDENT,Two different fatal motorbike accidents in HCMC,vietnamnet.vn,vietnamnet.vn,"Văng qua làn ô tô, nam thanh niên bị xe container cán tử vong","TPHCM: Xe máy bị cuốn vào gầm xe tải sau va chạm, đôi nam nữ tử vong tại chỗ",evt_4fbf0c758312,evt_4fbf0c758312,0.2932,0.167,Claude (provisional; needs human spot-check)
